Ground truth,Visualization,Color image,mv_all_bg_label_disagrees,label_all_bg_pred_disagrees,label_all_bg_pred_agrees,strong_agreement,difficult_situations,lanes_swapped,crossing
data/bdd/bdd100k_dataset_321x185/val/labels/b1c66a42-6f7d68ca.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b1c66a42-6f7d68ca.png,data/bdd/bdd100k_dataset_321x185/val/images/b1c66a42-6f7d68ca.png,0,0,0,1,0,0,0
data/bdd/bdd100k_dataset_321x185/val/labels/b1c81faa-3df17267.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b1c81faa-3df17267.png,data/bdd/bdd100k_dataset_321x185/val/images/b1c81faa-3df17267.png,0,0,0,1,0,0,0
data/bdd/bdd100k_dataset_321x185/val/labels/b1c81faa-c80764c5.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b1c81faa-c80764c5.png,data/bdd/bdd100k_dataset_321x185/val/images/b1c81faa-c80764c5.png,0,0,0,1,0,0,0
data/bdd/bdd100k_dataset_321x185/val/labels/b1c9c847-3bda4659.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b1c9c847-3bda4659.png,data/bdd/bdd100k_dataset_321x185/val/images/b1c9c847-3bda4659.png,0,0,0,0,0,0,0
data/bdd/bdd100k_dataset_321x185/val/labels/b1ca2e5d-84cf9134.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b1ca2e5d-84cf9134.png,data/bdd/bdd100k_dataset_321x185/val/images/b1ca2e5d-84cf9134.png,0,0,0,1,0,0,0
data/bdd/bdd100k_dataset_321x185/val/labels/b1ca8418-84a133a0.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b1ca8418-84a133a0.png,data/bdd/bdd100k_dataset_321x185/val/images/b1ca8418-84a133a0.png,0,0,0,0,0,0,1
data/bdd/bdd100k_dataset_321x185/val/labels/b1cac6a7-04e33135.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b1cac6a7-04e33135.png,data/bdd/bdd100k_dataset_321x185/val/images/b1cac6a7-04e33135.png,0,0,0,1,0,0,0
data/bdd/bdd100k_dataset_321x185/val/labels/b1cd1e94-26dd524f.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b1cd1e94-26dd524f.png,data/bdd/bdd100k_dataset_321x185/val/images/b1cd1e94-26dd524f.png,0,0,0,1,0,0,0
data/bdd/bdd100k_dataset_321x185/val/labels/b1cd1e94-549d0bfe.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b1cd1e94-549d0bfe.png,data/bdd/bdd100k_dataset_321x185/val/images/b1cd1e94-549d0bfe.png,0,0,0,0,1,0,0
data/bdd/bdd100k_dataset_321x185/val/labels/b1ceb32e-3f481b43.png,data/bdd/bdd100k_dataset_321x185/output/majority_vote_results/visual/b1ceb32e-3f481b43.png,data/bdd/bdd100k_dataset_321x185/val/images/b1ceb32e-3f481b43.png,0,0,0,0,0,0,0
